,Skill,correlation
42,Dynamic Flexibility,0.128828
207,Telephone,0.132271
67,Far Vision,0.155001
98,Installation,0.171495
30,Deal With External Customers,0.175325
165,Repairing and Maintaining Electronic Equipment,0.182044
220,Visual Color Discrimination,0.22688899999999998
31,Deal With Physically Aggressive People,0.245363
24,Coordinate or Lead Others,0.246192
51,Equipment Selection,0.247871
158,Quality Control Analysis,0.24806599999999998
184,Spatial Orientation,0.253805
41,Duration of Typical Work Week,0.262759
125,Night Vision,0.265475
108,Level of Competition,0.27223200000000003
82,Gross Body Equilibrium,0.272608
91,In an Enclosed Vehicle or Equipment,0.27569299999999997
152,Production and Processing,0.277254
116,Mechanical,0.278042
144,Peripheral Vision,0.281769
76,Frequency of Conflict Situations,0.286047
140,Perceptual Speed,0.28794000000000003
123,Near Vision,0.294065
35,Depth Perception,0.294588
62,Exposed to Radiation,0.29483400000000004
182,Sound Localization,0.295077
129,"Operating Vehicles, Mechanized Devices, or Equipment",0.295195
216,Troubleshooting,0.297981
202,Structured versus Unstructured Work,0.29840300000000003
80,Glare Sensitivity,0.3013
85,Hearing Sensitivity,0.312148
81,Gross Body Coordination,0.31412199999999996
176,Selective Attention,0.314268
75,Freedom to Make Decisions,0.32116500000000003
164,Repairing,0.326418
200,Stamina,0.332723
225,Work With Work Group or Team,0.33313200000000004
50,Equipment Maintenance,0.337343
97,"Inspecting Equipment, Structures, or Material",0.342672
43,Dynamic Strength,0.345094
170,Responsibility for Outcomes and Results,0.34621599999999997
137,"Outdoors, Exposed to Weather",0.346839
130,Operation Monitoring,0.348275
142,Performing General Physical Activities,0.348736
169,Response Orientation,0.35569
166,Repairing and Maintaining Mechanical Equipment,0.35782600000000003
88,Impact of Decisions on Co-workers or Company Results,0.36080999999999996
148,Physical Proximity,0.36085300000000003
175,Second Interest High-Point,0.361609
7,Auditory Attention,0.363602
138,"Outdoors, Under Cover",0.365861
20,Contact With Others,0.366151
66,Face-to-Face Discussions,0.36993200000000004
32,Deal With Unpleasant or Angry People,0.371208
131,Operation and Control,0.37178
217,Trunk Strength,0.372197
201,Static Strength,0.373648
64,Extent Flexibility,0.37717
122,Multilimb Coordination,0.382164
160,Reaction Time,0.38722399999999996
189,Speed of Limb Movement,0.391574
77,Frequency of Decision Making,0.39421100000000003
89,Importance of Being Exact or Accurate,0.395665
223,"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection",0.397138
23,Conventional,0.407787
171,Responsible for Others' Health and Safety,0.408356
224,Work Schedules,0.416966
212,Time Pressure,0.41732700000000006
159,Rate Control,0.4199
22,Controlling Machines and Processes,0.421224
4,Arm-Hand Steadiness,0.435954
19,Consequence of Error,0.437147
226,Wrist-Finger Speed,0.43862700000000004
84,Handling and Moving Objects,0.443371
60,Exposed to High Places,0.452949
63,Exposed to Whole Body Vibration,0.458064
21,Control Precision,0.46240600000000004
94,"Indoors, Not Environmentally Controlled",0.46374799999999994
69,Finger Dexterity,0.464346
58,Exposed to Hazardous Conditions,0.468661
196,Spend Time Standing,0.471988
222,"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets",0.472038
113,Manual Dexterity,0.474916
192,Spend Time Keeping or Regaining Balance,0.474946
27,"Cramped Work Space, Awkward Positions",0.48398800000000003
193,"Spend Time Kneeling, Crouching, Stooping, or Crawling",0.484151
90,Importance of Repeating Same Tasks,0.486371
162,Realistic,0.48748
163,Related Work Experience,0.488558
127,On-Site or In-Plant Training,0.488563
128,On-the-Job Training,0.488571
167,Required Level of Education,0.48858
34,Degree of Automation,0.492913
191,"Spend Time Climbing Ladders, Scaffolds, or Poles",0.49794700000000003
92,In an Open Vehicle or Equipment,0.506101
198,Spend Time Walking and Running,0.511624
59,Exposed to Hazardous Equipment,0.51393
219,Very Hot or Cold Temperatures,0.531163
194,Spend Time Making Repetitive Motions,0.537863
65,Extremely Bright or Inadequate Lighting,0.542031
190,Spend Time Bending or Twisting the Body,0.54277
197,"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls",0.5566409999999999
56,Exposed to Contaminants,0.561833
139,Pace Determined by Speed of Equipment,0.562445
183,"Sounds, Noise Levels Are Distracting or Uncomfortable",0.566025
61,"Exposed to Minor Burns, Cuts, Bites, or Stings",0.56615
