Skill 1	Skill 2	Weight
Active Learning	Night Vision	0.079618
Active Learning	Number Facility	0.612698
Active Learning	Oral Comprehension	0.769470
Active Learning	Oral Expression	0.796923
Active Learning	Originality	0.820755
Active Learning	Perceptual Speed	0.350427
Active Learning	Peripheral Vision	0.079618
Active Learning	Problem Sensitivity	0.675000
Active Learning	Rate Control	0.093168
Active Learning	Reaction Time	0.107558
Active Learning	Response Orientation	0.125731
Active Learning	Selective Attention	0.369822
Active Learning	Sound Localization	0.082803
Active Learning	Spatial Orientation	0.121019
Active Learning	Speech Clarity	0.719745
Active Learning	Speech Recognition	0.671975
Active Learning	Speed of Closure	0.575221
Active Learning	Speed of Limb Movement	0.120690
Active Learning	Stamina	0.162983
Active Learning	Static Strength	0.142077
Active Learning	Time Sharing	0.412979
Active Learning	Trunk Strength	0.203753
Active Learning	Visual Color Discrimination	0.279539
Active Learning	Visualization	0.303571
Active Learning	Wrist-Finger Speed	0.174041
Active Learning	Written Comprehension	0.785933
Active Learning	Written Expression	0.827586
Active Learning	Administration and Management	0.652568
Active Learning	Biology	0.353503
Active Learning	Building and Construction	0.165605
Active Learning	Chemistry	0.337580
Active Learning	Clerical	0.716561
Active Learning	Communications and Media	0.713376
Active Learning	Computers and Electronics	0.702703
Active Learning	Customer and Personal Service	0.616046
Active Learning	Design	0.286624
Active Learning	Economics and Accounting	0.557325
Active Learning	Education and Training	0.566879
Active Learning	Engineering and Technology	0.248408
Active Learning	English Language	0.780564
Active Learning	Fine Arts	0.347134
Active Learning	Food Production	0.245223
Active Learning	Foreign Language	0.557325
Active Learning	Geography	0.461783
Active Learning	History and Archeology	0.455414
Active Learning	Law and Government	0.589172
Active Learning	Mathematical Reasoning	0.598726
Active Learning	Mechanical	0.164557
Active Learning	Medicine and Dentistry	0.343949
Active Learning	Personnel and Human Resources	0.614650
Active Learning	Philosophy and Theology	0.525478
Active Learning	Physics	0.273885
Active Learning	Production and Processing	0.299363
Active Learning	Psychology	0.598726
Active Learning	Public Safety and Security	0.280488
Active Learning	Sales and Marketing	0.608280
Active Learning	Sociology and Anthropology	0.538217
Active Learning	Telecommunications	0.388535
Active Learning	Therapy and Counseling	0.429936
Active Learning	Transportation	0.229299
Active Learning	Analyzing Data or Information	0.703822
Active Learning	Assisting and Caring for Others	0.480892
Active Learning	Coaching and Developing Others	0.598726
Active Learning	Communicating with Persons Outside Organization	0.707736
Active Learning	Communicating with Supervisors, Peers, or Subordinates	0.711599
Active Learning	Controlling Machines and Processes	0.133758
Active Learning	Coordinating the Work and Activities of Others	0.597598
Active Learning	Developing Objectives and Strategies	0.700637
Active Learning	Developing and Building Teams	0.613707
Active Learning	Documenting/Recording Information	0.679083
Active Learning	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	0.232484
Active Learning	Establishing and Maintaining Interpersonal Relationships	0.710692
Active Learning	Estimating the Quantifiable Characteristics of Products, Events, or Information	0.420732
Active Learning	Evaluating Information to Determine Compliance with Standards	0.556231
Active Learning	Getting Information	0.729814
Active Learning	Guiding, Directing, and Motivating Subordinates	0.582803
Active Learning	Handling and Moving Objects	0.171831
Active Learning	Identifying Objects, Actions, and Events	0.622291
Active Learning	Inspecting Equipment, Structures, or Material	0.192935
Active Learning	Interacting With Computers	0.716418
Active Learning	Interpreting the Meaning of Information for Others	0.726115
Active Learning	Judging the Qualities of Things, Services, or People	0.579268
Active Learning	Making Decisions and Solving Problems	0.704403
Active Learning	Monitor Processes, Materials, or Surroundings	0.403030
Active Learning	Monitoring and Controlling Resources	0.544586
Active Learning	Operating Vehicles, Mechanized Devices, or Equipment	0.066879
Active Learning	Organizing, Planning, and Prioritizing Work	0.764331
Active Learning	Performing Administrative Activities	0.719243
Active Learning	Performing General Physical Activities	0.143258
Active Learning	Performing for or Working Directly with the Public	0.600583
Active Learning	Processing Information	0.729299
Active Learning	Provide Consultation and Advice to Others	0.668790
Active Learning	Repairing and Maintaining Electronic Equipment	0.203822
Active Learning	Repairing and Maintaining Mechanical Equipment	0.089172
Active Learning	Resolving Conflicts and Negotiating with Others	0.627389
Active Learning	Scheduling Work and Activities	0.678019
Active Learning	Selling or Influencing Others	0.605096
Active Learning	Staffing Organizational Units	0.560510
Active Learning	Thinking Creatively	0.691083
Active Learning	Training and Teaching Others	0.589172
Active Learning	Updating and Using Relevant Knowledge	0.718266
Active Listening	Complex Problem Solving	0.704545
Active Listening	Coordination	0.701183
Active Listening	Critical Thinking	0.870130
Active Listening	Equipment Maintenance	0.094156
Active Listening	Equipment Selection	0.165165
Active Listening	Installation	0.146104
Active Listening	Instructing	0.759615
Active Listening	Judgment and Decision Making	0.750000
Active Listening	Learning Strategies	0.782468
Active Listening	Management of Financial Resources	0.506494
Active Listening	Management of Material Resources	0.435065
Active Listening	Management of Personnel Resources	0.631068
Active Listening	Mathematics	0.553398
Active Listening	Monitoring	0.761006
Active Listening	Negotiation	0.764151
Active Listening	Operation Monitoring	0.163142
Active Listening	Operation and Control	0.142857
Active Listening	Operations Analysis	0.553398
Active Listening	Persuasion	0.775449
Active Listening	Programming	0.402597
Active Listening	Quality Control Analysis	0.208696
Active Listening	Reading Comprehension	0.859873
Active Listening	Repairing	0.074675
Active Listening	Science	0.357143
Active Listening	Service Orientation	0.759878
Active Listening	Social Perceptiveness	0.821538
Active Listening	Speaking	0.904459
Active Listening	Systems Analysis	0.509740
Active Listening	Systems Evaluation	0.571429
Active Listening	Technology Design	0.298701
Active Listening	Time Management	0.758410
Active Listening	Troubleshooting	0.145897
Active Listening	Writing	0.845659
Active Listening	Arm-Hand Steadiness	0.257353
Active Listening	Auditory Attention	0.256098
Active Listening	Category Flexibility	0.652174
Active Listening	Control Precision	0.183060
Active Listening	Deductive Reasoning	0.775316
Active Listening	Depth Perception	0.180282
Active Listening	Dynamic Flexibility	0.149351
Active Listening	Dynamic Strength	0.203390
Active Listening	Explosive Strength	0.168831
Active Listening	Extent Flexibility	0.211268
Active Listening	Far Vision	0.450151
Active Listening	Finger Dexterity	0.286501
Active Listening	Flexibility of Closure	0.470414
Active Listening	Fluency of Ideas	0.735484
Active Listening	Glare Sensitivity	0.152597
Active Listening	Gross Body Coordination	0.231183
Active Listening	Gross Body Equilibrium	0.202492
Active Listening	Hearing Sensitivity	0.263636
Active Listening	Inductive Reasoning	0.771160
Active Listening	Information Ordering	0.623494
Active Listening	Manual Dexterity	0.230380
Active Listening	Mathematical Reasoning	0.577922
Active Listening	Memorization	0.676829
Active Listening	Multilimb Coordination	0.206718
Active Listening	Near Vision	0.635783
Active Listening	Night Vision	0.126623
Active Listening	Number Facility	0.568254
Active Listening	Oral Comprehension	0.831776
Active Listening	Oral Expression	0.861538
Active Listening	Originality	0.726415
Active Listening	Perceptual Speed	0.384615
Active Listening	Peripheral Vision	0.120130
Active Listening	Problem Sensitivity	0.712500
Active Listening	Rate Control	0.111801
Active Listening	Reaction Time	0.148256
Active Listening	Response Orientation	0.149123
Active Listening	Selective Attention	0.437870
Active Listening	Sound Localization	0.110390
Active Listening	Spatial Orientation	0.152597
Active Listening	Speech Clarity	0.808442
Active Listening	Speech Recognition	0.782468
Active Listening	Speed of Closure	0.563422
Active Listening	Speed of Limb Movement	0.189655
Active Listening	Stamina	0.223757
Active Listening	Static Strength	0.204918
Active Listening	Time Sharing	0.501475
Active Listening	Trunk Strength	0.268097
Active Listening	Visual Color Discrimination	0.276657
Active Listening	Visualization	0.244048
Active Listening	Wrist-Finger Speed	0.168142
Active Listening	Written Comprehension	0.782875
Active Listening	Written Expression	0.811912
Active Listening	Administration and Management	0.601208
Active Listening	Biology	0.295455
Active Listening	Building and Construction	0.116883
Active Listening	Chemistry	0.253247
Active Listening	Clerical	0.730519
Active Listening	Communications and Media	0.724919
Active Listening	Computers and Electronics	0.672673
Active Listening	Customer and Personal Service	0.664756
Active Listening	Design	0.198052
Active Listening	Economics and Accounting	0.522727
Active Listening	Education and Training	0.538961
Active Listening	Engineering and Technology	0.178571
Active Listening	English Language	0.799373
Active Listening	Fine Arts	0.363636
Active Listening	Food Production	0.259740
Active Listening	Foreign Language	0.603896
Active Listening	Geography	0.457792
Active Listening	History and Archeology	0.444805
Active Listening	Law and Government	0.600649
Active Listening	Mathematical Reasoning	0.551948
Active Listening	Mechanical	0.110759
Active Listening	Medicine and Dentistry	0.350649
Active Listening	Personnel and Human Resources	0.558442
Active Listening	Philosophy and Theology	0.568182
Active Listening	Physics	0.185065
Active Listening	Production and Processing	0.226115
Active Listening	Psychology	0.626623
Active Listening	Public Safety and Security	0.341463
Active Listening	Sales and Marketing	0.570968
Active Listening	Sociology and Anthropology	0.561688
Active Listening	Telecommunications	0.418831
Active Listening	Therapy and Counseling	0.457792
Active Listening	Transportation	0.285714
Active Listening	Analyzing Data or Information	0.636364
Active Listening	Assisting and Caring for Others	0.564935
Active Listening	Coaching and Developing Others	0.574675
Active Listening	Communicating with Persons Outside Organization	0.704871
Active Listening	Communicating with Supervisors, Peers, or Subordinates	0.749216
Active Listening	Controlling Machines and Processes	0.101911
Active Listening	Coordinating the Work and Activities of Others	0.558559
Active Listening	Developing Objectives and Strategies	0.610390
Active Listening	Developing and Building Teams	0.566978
Active Listening	Documenting/Recording Information	0.659026
Active Listening	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	0.146104
Active Listening	Establishing and Maintaining Interpersonal Relationships	0.789308
Active Listening	Estimating the Quantifiable Characteristics of Products, Events, or Information	0.381098
Active Listening	Evaluating Information to Determine Compliance with Standards	0.547112
Active Listening	Getting Information	0.726708
Active Listening	Guiding, Directing, and Motivating Subordinates	0.490260
Active Listening	Handling and Moving Objects	0.214085
Active Listening	Identifying Objects, Actions, and Events	0.631579
Active Listening	Inspecting Equipment, Structures, or Material	0.190217
Active Listening	Interacting With Computers	0.680597
Active Listening	Interpreting the Meaning of Information for Others	0.701299
Active Listening	Judging the Qualities of Things, Services, or People	0.579268
Active Listening	Making Decisions and Solving Problems	0.654088
Active Listening	Monitor Processes, Materials, or Surroundings	0.436364
Active Listening	Monitoring and Controlling Resources	0.444805
Active Listening	Operating Vehicles, Mechanized Devices, or Equipment	0.113636
Active Listening	Organizing, Planning, and Prioritizing Work	0.743506
Active Listening	Performing Administrative Activities	0.687697
Active Listening	Performing General Physical Activities	0.216292
Active Listening	Performing for or Working Directly with the Public	0.650146
Active Listening	Processing Information	0.688312
Active Listening	Provide Consultation and Advice to Others	0.574675
Active Listening	Repairing and Maintaining Electronic Equipment	0.168831
Active Listening	Repairing and Maintaining Mechanical Equipment	0.074675
Active Listening	Resolving Conflicts and Negotiating with Others	0.678571
Active Listening	Scheduling Work and Activities	0.609907
Active Listening	Selling or Influencing Others	0.568182
Active Listening	Staffing Organizational Units	0.500000
Active Listening	Thinking Creatively	0.623377
Active Listening	Training and Teaching Others	0.551948
Active Listening	Updating and Using Relevant Knowledge	0.696594
Complex Problem Solving	Coordination	0.585799
Complex Problem Solving	Critical Thinking	0.740260
Complex Problem Solving	Equipment Maintenance	0.180328
Complex Problem Solving	Equipment Selection	0.267267
Complex Problem Solving	Installation	0.255102
Complex Problem Solving	Instructing	0.653846
Complex Problem Solving	Judgment and Decision Making	0.816327
Complex Problem Solving	Learning Strategies	0.689189
Complex Problem Solving	Management of Financial Resources	0.605442
Complex Problem Solving	Management of Material Resources	0.538462
Complex Problem Solving	Management of Personnel Resources	0.644013
Complex Problem Solving	Mathematics	0.637540
Complex Problem Solving	Monitoring	0.679245
Complex Problem Solving	Negotiation	0.679245
Complex Problem Solving	Operation Monitoring	0.223565
Complex Problem Solving	Operation and Control	0.190476
Complex Problem Solving	Operations Analysis	0.692557
Complex Problem Solving	Persuasion	0.691617
Complex Problem Solving	Programming	0.530612
Complex Problem Solving	Quality Control Analysis	0.330435
Complex Problem Solving	Reading Comprehension	0.754777
Complex Problem Solving	Repairing	0.183673
Complex Problem Solving	Science	0.493197
Complex Problem Solving	Service Orientation	0.568389
Complex Problem Solving	Social Perceptiveness	0.600000
Complex Problem Solving	Speaking	0.707006
Complex Problem Solving	Systems Analysis	0.628763
Complex Problem Solving	Systems Evaluation	0.693333
Complex Problem Solving	Technology Design	0.479592
Complex Problem Solving	Time Management	0.657492
Complex Problem Solving	Troubleshooting	0.246201
Complex Problem Solving	Writing	0.752412
Complex Problem Solving	Arm-Hand Steadiness	0.218137
Complex Problem Solving	Auditory Attention	0.216463
Complex Problem Solving	Category Flexibility	0.585507
Complex Problem Solving	Control Precision	0.196721
Complex Problem Solving	Deductive Reasoning	0.712025
Complex Problem Solving	Depth Perception	0.183099
Complex Problem Solving	Dynamic Flexibility	0.129252
Complex Problem Solving	Dynamic Strength	0.135593
Complex Problem Solving	Explosive Strength	0.163265
Complex Problem Solving	Extent Flexibility	0.138028
Complex Problem Solving	Far Vision	0.353474
Complex Problem Solving	Finger Dexterity	0.258953
Complex Problem Solving	Flexibility of Closure	0.443787
Complex Problem Solving	Fluency of Ideas	0.748387
Complex Problem Solving	Glare Sensitivity	0.170068
Complex Problem Solving	Gross Body Coordination	0.161290
Complex Problem Solving	Gross Body Equilibrium	0.127726
Complex Problem Solving	Hearing Sensitivity	0.209091
Complex Problem Solving	Inductive Reasoning	0.689655
Complex Problem Solving	Information Ordering	0.560241
Complex Problem Solving	Manual Dexterity	0.200000
Complex Problem Solving	Mathematical Reasoning	0.683673
Complex Problem Solving	Memorization	0.585366
Complex Problem Solving	Multilimb Coordination	0.162791
Complex Problem Solving	Near Vision	0.507987
Complex Problem Solving	Night Vision	0.136054
Complex Problem Solving	Number Facility	0.596825
Complex Problem Solving	Oral Comprehension	0.666667
Complex Problem Solving	Oral Expression	0.673846
Complex Problem Solving	Originality	0.742138
Complex Problem Solving	Perceptual Speed	0.319088
Complex Problem Solving	Peripheral Vision	0.125850
Complex Problem Solving	Problem Sensitivity	0.584375
Complex Problem Solving	Rate Control	0.136646
Complex Problem Solving	Reaction Time	0.162791
Complex Problem Solving	Response Orientation	0.163743
Complex Problem Solving	Selective Attention	0.328402
Complex Problem Solving	Sound Localization	0.129252
Complex Problem Solving	Spatial Orientation	0.159864
Complex Problem Solving	Speech Clarity	0.628378
Complex Problem Solving	Speech Recognition	0.574830
Complex Problem Solving	Speed of Closure	0.513274
Complex Problem Solving	Speed of Limb Movement	0.135057
Complex Problem Solving	Stamina	0.157459
Complex Problem Solving	Static Strength	0.144809
Complex Problem Solving	Time Sharing	0.327434
Complex Problem Solving	Trunk Strength	0.168901
Complex Problem Solving	Visual Color Discrimination	0.291066
Complex Problem Solving	Visualization	0.330357
Complex Problem Solving	Wrist-Finger Speed	0.185841
Complex Problem Solving	Written Comprehension	0.746177
Complex Problem Solving	Written Expression	0.755486
Complex Problem Solving	Administration and Management	0.598187
Complex Problem Solving	Biology	0.336735
Complex Problem Solving	Building and Construction	0.255102
Complex Problem Solving	Chemistry	0.335548
Complex Problem Solving	Clerical	0.670034
Complex Problem Solving	Communications and Media	0.627832
Complex Problem Solving	Computers and Electronics	0.669670
Complex Problem Solving	Customer and Personal Service	0.501433
Complex Problem Solving	Design	0.391156
Complex Problem Solving	Economics and Accounting	0.534014
Complex Problem Solving	Education and Training	0.527211
Complex Problem Solving	Engineering and Technology	0.364865
Complex Problem Solving	English Language	0.699060
Complex Problem Solving	Fine Arts	0.319728
Complex Problem Solving	Food Production	0.210884
Complex Problem Solving	Foreign Language	0.496599
Complex Problem Solving	Geography	0.476190
Complex Problem Solving	History and Archeology	0.445578
Complex Problem Solving	Law and Government	0.573333
Complex Problem Solving	Mathematical Reasoning	0.630719
Complex Problem Solving	Mechanical	0.250000
Complex Problem Solving	Medicine and Dentistry	0.282313
Complex Problem Solving	Personnel and Human Resources	0.591837
Complex Problem Solving	Philosophy and Theology	0.462585
Complex Problem Solving	Physics	0.370748
Complex Problem Solving	Production and Processing	0.315287
Complex Problem Solving	Psychology	0.517007
Complex Problem Solving	Public Safety and Security	0.271341
Complex Problem Solving	Sales and Marketing	0.503226
Complex Problem Solving	Sociology and Anthropology	0.469388
Complex Problem Solving	Telecommunications	0.397959
Complex Problem Solving	Therapy and Counseling	0.363946
Complex Problem Solving	Transportation	0.261905
Complex Problem Solving	Analyzing Data or Information	0.717687
Complex Problem Solving	Assisting and Caring for Others	0.377551
Complex Problem Solving	Coaching and Developing Others	0.571429
Complex Problem Solving	Communicating with Persons Outside Organization	0.627507
Complex Problem Solving	Communicating with Supervisors, Peers, or Subordinates	0.626959
Complex Problem Solving	Controlling Machines and Processes	0.181529
Complex Problem Solving	Coordinating the Work and Activities of Others	0.516517
Complex Problem Solving	Developing Objectives and Strategies	0.690476
Complex Problem Solving	Developing and Building Teams	0.532710
Complex Problem Solving	Documenting/Recording Information	0.618911
Complex Problem Solving	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	0.336735
Complex Problem Solving	Establishing and Maintaining Interpersonal Relationships	0.575472
Complex Problem Solving	Estimating the Quantifiable Characteristics of Products, Events, or Information	0.420732
Complex Problem Solving	Evaluating Information to Determine Compliance with Standards	0.516717
Complex Problem Solving	Getting Information	0.639752
Complex Problem Solving	Guiding, Directing, and Motivating Subordinates	0.556291
Complex Problem Solving	Handling and Moving Objects	0.160563
Complex Problem Solving	Identifying Objects, Actions, and Events	0.544892
Complex Problem Solving	Inspecting Equipment, Structures, or Material	0.225543
Complex Problem Solving	Interacting With Computers	0.686567
Complex Problem Solving	Interpreting the Meaning of Information for Others	0.707483
Complex Problem Solving	Judging the Qualities of Things, Services, or People	0.545732
Complex Problem Solving	Making Decisions and Solving Problems	0.663522
Complex Problem Solving	Monitor Processes, Materials, or Surroundings	0.369697
Complex Problem Solving	Monitoring and Controlling Resources	0.513605
Complex Problem Solving	Operating Vehicles, Mechanized Devices, or Equipment	0.125850
Complex Problem Solving	Organizing, Planning, and Prioritizing Work	0.665584
Complex Problem Solving	Performing Administrative Activities	0.640379
Complex Problem Solving	Performing General Physical Activities	0.134831
Complex Problem Solving	Performing for or Working Directly with the Public	0.475219
Complex Problem Solving	Processing Information	0.690554
Complex Problem Solving	Provide Consultation and Advice to Others	0.659864
Complex Problem Solving	Repairing and Maintaining Electronic Equipment	0.258503
Complex Problem Solving	Repairing and Maintaining Mechanical Equipment	0.163880
Complex Problem Solving	Resolving Conflicts and Negotiating with Others	0.552288
Complex Problem Solving	Scheduling Work and Activities	0.609907
Complex Problem Solving	Selling or Influencing Others	0.571429
Complex Problem Solving	Staffing Organizational Units	0.530612
Complex Problem Solving	Thinking Creatively	0.693878
Complex Problem Solving	Training and Teaching Others	0.546358
Complex Problem Solving	Updating and Using Relevant Knowledge	0.643963
Coordination	Critical Thinking	0.677515
Coordination	Equipment Maintenance	0.257396
Coordination	Equipment Selection	0.307692
Coordination	Installation	0.245562
Coordination	Instructing	0.665680
Coordination	Judgment and Decision Making	0.639053
Coordination	Learning Strategies	0.659763
Coordination	Management of Financial Resources	0.455621
Coordination	Management of Material Resources	0.485207
Coordination	Management of Personnel Resources	0.639053
Coordination	Mathematics	0.532544
Coordination	Monitoring	0.698225
Coordination	Negotiation	0.707101
Coordination	Operation Monitoring	0.298817
Coordination	Operation and Control	0.307692
Coordination	Operations Analysis	0.508876
Coordination	Persuasion	0.721893
Coordination	Programming	0.322485
Coordination	Quality Control Analysis	0.356522
Coordination	Reading Comprehension	0.650888
Coordination	Repairing	0.233728
Coordination	Science	0.263314
Coordination	Service Orientation	0.674556
Coordination	Social Perceptiveness	0.724852
Coordination	Speaking	0.713018
Coordination	Systems Analysis	0.461538
Coordination	Systems Evaluation	0.532544
Coordination	Technology Design	0.328402
Coordination	Time Management	0.739645
Coordination	Troubleshooting	0.298817
Coordination	Writing	0.656805
Coordination	Arm-Hand Steadiness	0.367647
Coordination	Auditory Attention	0.399408
Coordination	Category Flexibility	0.617391
Coordination	Control Precision	0.319672
Coordination	Deductive Reasoning	0.624260
Coordination	Depth Perception	0.340845
Coordination	Dynamic Flexibility	0.304734
Coordination	Dynamic Strength	0.375706
Coordination	Explosive Strength	0.286982
Coordination	Extent Flexibility	0.371831
Coordination	Far Vision	0.511834
Coordination	Finger Dexterity	0.382920
Coordination	Flexibility of Closure	0.458580
Coordination	Fluency of Ideas	0.630178
Coordination	Glare Sensitivity	0.295858
Coordination	Gross Body Coordination	0.387097
Coordination	Gross Body Equilibrium	0.360947
Coordination	Hearing Sensitivity	0.366864
Coordination	Inductive Reasoning	0.600592
Coordination	Information Ordering	0.597633
Coordination	Manual Dexterity	0.354430
Coordination	Mathematical Reasoning	0.485207
Coordination	Memorization	0.597633
Coordination	Multilimb Coordination	0.361757
Coordination	Near Vision	0.556213
Coordination	Night Vision	0.257396
Coordination	Number Facility	0.508876
Coordination	Oral Comprehension	0.683432
Coordination	Oral Expression	0.707101
Coordination	Originality	0.639053
Coordination	Perceptual Speed	0.438746
Coordination	Peripheral Vision	0.269231
Coordination	Problem Sensitivity	0.609467
Coordination	Rate Control	0.269231
Coordination	Reaction Time	0.313953
Coordination	Response Orientation	0.309942
Coordination	Selective Attention	0.508876
Coordination	Sound Localization	0.248521
Coordination	Spatial Orientation	0.310651
Coordination	Speech Clarity	0.653846
Coordination	Speech Recognition	0.656805
Coordination	Speed of Closure	0.519174
Coordination	Speed of Limb Movement	0.364943
Coordination	Stamina	0.397790
Coordination	Static Strength	0.377049
Coordination	Time Sharing	0.569322
Coordination	Trunk Strength	0.410188
Coordination	Visual Color Discrimination	0.348703
Coordination	Visualization	0.411243
Coordination	Wrist-Finger Speed	0.324484
Coordination	Written Comprehension	0.627219
Coordination	Written Expression	0.662722
Coordination	Administration and Management	0.624260
Coordination	Biology	0.242604
Coordination	Building and Construction	0.263314
Coordination	Chemistry	0.281065
Coordination	Clerical	0.579882
Coordination	Communications and Media	0.594675
Coordination	Computers and Electronics	0.553254
Coordination	Customer and Personal Service	0.641834
Coordination	Design	0.292899
Coordination	Economics and Accounting	0.473373
Coordination	Education and Training	0.523669
Coordination	Engineering and Technology	0.251479
Coordination	English Language	0.633136
Coordination	Fine Arts	0.325444
Coordination	Food Production	0.263314
Coordination	Foreign Language	0.511834
Coordination	Geography	0.411243
Coordination	History and Archeology	0.352071
Coordination	Law and Government	0.511834
Coordination	Mathematical Reasoning	0.494083
Coordination	Mechanical	0.263314
Coordination	Medicine and Dentistry	0.286982
Coordination	Personnel and Human Resources	0.520710
Coordination	Philosophy and Theology	0.461538
Coordination	Physics	0.233728
Coordination	Production and Processing	0.381657
Coordination	Psychology	0.559172
Coordination	Public Safety and Security	0.452663
Coordination	Sales and Marketing	0.553254
Coordination	Sociology and Anthropology	0.455621
Coordination	Telecommunications	0.363905
Coordination	Therapy and Counseling	0.378698
Coordination	Transportation	0.366864
Coordination	Analyzing Data or Information	0.494083
Coordination	Assisting and Caring for Others	0.491124
Coordination	Coaching and Developing Others	0.565089
Coordination	Communicating with Persons Outside Organization	0.636103
Coordination	Communicating with Supervisors, Peers, or Subordinates	0.683432
Coordination	Controlling Machines and Processes	0.257396
Coordination	Coordinating the Work and Activities of Others	0.677515
Coordination	Developing Objectives and Strategies	0.541420
Coordination	Developing and Building Teams	0.606509
Coordination	Documenting/Recording Information	0.541547
Coordination	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	0.248521
Coordination	Establishing and Maintaining Interpersonal Relationships	0.710059
Coordination	Estimating the Quantifiable Characteristics of Products, Events, or Information	0.423077
Coordination	Evaluating Information to Determine Compliance with Standards	0.538462
Coordination	Getting Information	0.609467
Coordination	Guiding, Directing, and Motivating Subordinates	0.544379
Coordination	Handling and Moving Objects	0.363380
Coordination	Identifying Objects, Actions, and Events	0.550296
Coordination	Inspecting Equipment, Structures, or Material	0.317935
Coordination	Interacting With Computers	0.585799
Coordination	Interpreting the Meaning of Information for Others	0.532544
Coordination	Judging the Qualities of Things, Services, or People	0.550296
Coordination	Making Decisions and Solving Problems	0.573964
Coordination	Monitor Processes, Materials, or Surroundings	0.437870
Coordination	Monitoring and Controlling Resources	0.452663
Coordination	Operating Vehicles, Mechanized Devices, or Equipment	0.260355
Coordination	Organizing, Planning, and Prioritizing Work	0.662722
Coordination	Performing Administrative Activities	0.585799
Coordination	Performing General Physical Activities	0.382022
Coordination	Performing for or Working Directly with the Public	0.597668
Coordination	Processing Information	0.523669
Coordination	Provide Consultation and Advice to Others	0.491124
Coordination	Repairing and Maintaining Electronic Equipment	0.204142
Coordination	Repairing and Maintaining Mechanical Equipment	0.218935
Coordination	Resolving Conflicts and Negotiating with Others	0.621302
Coordination	Scheduling Work and Activities	0.612426
Coordination	Selling or Influencing Others	0.508876
Coordination	Staffing Organizational Units	0.482249
Coordination	Thinking Creatively	0.538462
Coordination	Training and Teaching Others	0.535503
Coordination	Updating and Using Relevant Knowledge	0.565089
Critical Thinking	Equipment Maintenance	0.120130
Critical Thinking	Equipment Selection	0.201201
Critical Thinking	Installation	0.162338
Critical Thinking	Instructing	0.762821
Critical Thinking	Judgment and Decision Making	0.775974
Critical Thinking	Learning Strategies	0.766234
Critical Thinking	Management of Financial Resources	0.545455
Critical Thinking	Management of Material Resources	0.464286
Critical Thinking	Management of Personnel Resources	0.650485
Critical Thinking	Mathematics	0.595469
Critical Thinking	Monitoring	0.738994
Critical Thinking	Negotiation	0.761006
Critical Thinking	Operation Monitoring	0.172205
Critical Thinking	Operation and Control	0.145833
Critical Thinking	Operations Analysis	0.588997
Critical Thinking	Persuasion	0.775449
Critical Thinking	Programming	0.431818
Critical Thinking	Quality Control Analysis	0.240580
Critical Thinking	Reading Comprehension	0.856688
