Guam,Guamanian,Guamanians,Guamanians
Guatemala,Guatemalan,Guatemalans,"""Chapines"""
Guernsey,Channel Island,Channel Islanders,Channel Islanders
Guinea,Guinean,Guineans,Guineans
Guinea-Bissau,Bissau-Guinean,Bissau-Guineans,Bissau-Guineans
Guyana,Guyanese,Guyanese,Guyanese
Haiti,Haitian,Haitians,"""Ayisyen"""
Heard Island and McDonald Islands,Heard Island or McDonald Islands,none,none
Honduras,Honduran,Hondurans,"""Catrachos"""
Hong Kong,"Hong Kong, Hong Kongese","Hongkongers, Hong Kongese","""Hongkies"", ""Hongers"""
Hungary,"Hungarian, Magyar","Hungarians, Magyars","Hungarians, Magyars"
Iceland,Icelandic,Icelanders,Icelanders
India,Indian,Indians,Indians
Indonesia,Indonesian,Indonesians,Indonesians
Iran,"Iranian, Persian","Iranians, Persians","Iranians, Persians"
Iraq,Iraqi,Iraqis,Iraqis
Ireland,Irish,"Irish, Irishmen/Irishwomen","Irish, Irishmen/Irishwomen"
Isle of Man,Manx,Manx,Manx
Israel,Israeli,Israelis,Israelis
Italy,Italian,Italians,Italians
Ivory Coast,Ivorian,Ivorians,Ivorians
Jamaica,Jamaican,Jamaicans,Jamaicans
Jan Mayen,Jan Mayen,,
Japan,Japanese,Japanese,Japanese
Jersey,Channel Island,Channel Islanders,Channel Islanders
Jordan,Jordanian,Jordanians,Jordanians
Kazakhstan,"Kazakhstani, Kazakh","Kazakhstanis, Kazakhs","Kazakhstanis, Kazakhs"
Kenya,Kenyan,Kenyans,Kenyans
Kiribati,I-Kiribati,I-Kiribati,I-Kiribati
North Korea,North Korean,Koreans,Koreans
South Korea,South Korean,Koreans,Koreans
Kosovo,"Kosovar, Kosovan",Kosovars,Kosovars
Kuwait,Kuwaiti,Kuwaitis,Kuwaitis
Kyrgyzstan,"Kyrgyzstani, Kyrgyz, Kirgiz, Kirghiz","Kyrgyzstanis, Kyrgyz, Kirgiz, Kirghiz","Kyrgyzstanis, Kyrgyz, Kirgiz, Kirghiz"
Laos,"Lao, Laotian","Laos, Laotians","Laos, Laotians"
Latvia,"Latvian, Lettish","Latvians, Letts","Latvians, Letts"
Lebanon,Lebanese,Lebanese,Lebanese
Lesotho,Basotho,Basotho (singular Mosotho),Basotho (singular Mosotho)
Liberia,Liberian,Liberians,Liberians
Libya,Libyan,Libyans,Libyans
Liechtenstein,Liechtensteiner,Liechtensteiners,Liechtensteiners
Lithuania,Lithuanian,Lithuanians,Lithuanians
Luxembourg,"Luxembourg, Luxembourgish",Luxembourgers,Luxembourgers
Macau,"Macanese, Chinese","Macanese, Chinese","Macanese, Chinese"
"North Macedonia, Republic of",Macedonian,Macedonians,Macedonians
Madagascar,Malagasy,Malagasy,Malagasy
Malawi,Malawian,Malawians,Malawians
Malaysia,Malaysian,Malaysians,Malaysians
Maldives,Maldivian,Maldivians,Maldivians
Mali,"Malian, Malinese",Malians,Malians
Malta,Maltese,Maltese,Maltese
Marshall Islands,Marshallese,Marshallese,Marshallese
Martinique,"Martiniquais, Martinican",Martiniquais/Martiniquaises,Martiniquais/Martiniquaises
Mauritania,Mauritanian,Mauritanians,Mauritanians
Mauritius,Mauritian,Mauritians,Mauritians
Mayotte,Mahoran,Mahorans,Mahorans
Mexico,Mexican,Mexicans,"""Aztecas"""
"Micronesia, Federated States of",Micronesian,Micronesians,Micronesians
Moldova,Moldovan,Moldovans,Moldovans
Monaco,"Monégasque, Monacan","Monégasques, Monacans","Monégasques, Monacans"
Mongolia,Mongolian,"Mongolians, Mongols","Mongolians, Mongols"
Montenegro,Montenegrin,Montenegrins,Montenegrins
Montserrat,Montserratian,Montserratians,Montserratians
Morocco,Moroccan,Moroccans,Moroccans
Mozambique,Mozambican,Mozambicans,Mozambicans
Myanmar,Burmese,"Burmese, Bamar","Burmese, Bamar"
Namibia,Namibian,Namibians,Namibians
Nauru,Nauruan,Nauruans,Nauruans
Nepal,"Nepali, Nepalese","Nepali, Nepalese","Nepali, Nepalese"
Netherlands,"Dutch, Netherlandic","Dutch, Dutchmen/Dutchwomen, Netherlanders","Dutch, Dutchmen/Dutchwomen, Netherlanders"
New Caledonia,New Caledonian,New Caledonians,New Caledonians
New Zealand,New Zealand,New Zealanders,"""Kiwis"""
Nicaragua,Nicaraguan,Nicaraguans,"""Nicas"", Pinoleros"
Niger,Nigerien,Nigeriens,Nigeriens
Nigeria,Nigerian,Nigerians,"""Naija"""
Niue,Niuean,Niueans,Niueans
Norfolk Island,Norfolk Island,Norfolk Islanders,Norfolk Islanders
Northern Ireland,"Northern Irish, British","Northern Irish, Northern Irishmen/Northern Irishwomen, British","Northern Irish, Northern Irishmen/Northern Irishwomen, British"
Northern Mariana Islands,Northern Marianan,Northern Marianans,Northern Marianans
Norway,Norwegian,Norwegians,Norwegians
Oman,Omani,Omanis,Omanis
Pakistan,Pakistani,Pakistanis,Pakistanis
Palau,Palauan,Palauans,Palauans
Palestine,Palestinian,Palestinians,Palestinians
Panama,Panamanian,Panamanians,"""Canaleros"", ""Istmeños"", ""Panas"""
Papua New Guinea,"Papua New Guinean, Papuan","Papua New Guineans, Papuans","Papua New Guineans, Papuans"
Paraguay,Paraguayan,Paraguayans,"""Guaraníes"""
Peru,Peruvian,Peruvians,"""Incas"""
Philippines,"Filipino, Philippine",Filipinos/Filipinas,"""Pinoys"""
Pitcairn Islands,Pitcairn Island,Pitcairn Islanders,Pitcairn Islanders
Poland,Polish,Poles,Poles
Portugal,Portuguese,Portuguese,"""Tugas"""
Puerto Rico,Puerto Rican,Puerto Ricans,"""Boricuas"""
Qatar,Qatari,Qataris,Qataris
Réunion,"Réunionese, Réunionnais","Réunionese, Réunionnais/Réunionnaises","Réunionese, Réunionnais/Réunionnaises"
Romania,Romanian,Romanians,Romanians
Russia,Russian,Russians,"""Russkis"" ""Soviets"""
Rwanda,Rwandan,"Rwandans, Banyarwanda","Rwandans, Banyarwanda"
Saba,Saba,Saba Dutch,Saba Dutch
Saint Barthélemy,Barthélemois,Barthélemois/Barthélemoises,Barthélemois/Barthélemoises
"Saint Helena, Ascension and Tristan da Cunha",Saint Helenian,Saint Helenians,"""Saints"""
Saint Kitts and Nevis,Kittitian or Nevisian,Kittitians or Nevisians,Kittitians or Nevisians
Saint Lucia,Saint Lucian,Saint Lucians,Saint Lucians
Saint Martin,Saint-Martinoise,Saint-Martinois/Saint-Martinoises,Saint-Martinois/Saint-Martinoises
Saint Pierre and Miquelon,Saint-Pierrais or Miquelonnais,Saint-Pierrais/Saint-Pierraises or Miquelonnais/Miquelonnaises,Saint-Pierrais/Saint-Pierraises or Miquelonnais/Miquelonnaises
Saint Vincent and the Grenadines,"Saint Vincentian, Vincentian","Saint Vincentians, Vincentians","""Vincy"""
Samoa,Samoan,Samoans,Samoans
San Marino,Sammarinese,Sammarinese,Sammarinese
São Tomé and Príncipe,São Toméan,São Toméans,São Toméans
Saudi Arabia,"Saudi, Saudi Arabian","Saudis, Saudi Arabians","Saudis, Saudi Arabians"
Scotland,"Scottish, British","Scot, Scotsmen, Scotswomen, na h-Alba","Scot, Scotsmen, Scotswomen, na h-Alba"
Senegal,Senegalese,Senegalese,Senegalese
Serbia,Serbian,"Serbs, Serbians","Serbs, Serbians"
Seychelles,Seychellois,Seychellois/Seychelloises,Seychellois/Seychelloises
Sierra Leone,Sierra Leonean,Sierra Leoneans,Sierra Leoneans
Singapore,"Singapore, Singaporean",Singaporeans,Singaporeans
Sint Eustatius,"Sint Eustatius, Statian",Statians,Statians
Sint Maarten,Sint Maarten,Sint Maartener,Sint Maartener
Slovakia,Slovak,"Slovaks, Slovakians","Slovaks, Slovakians"
Slovenia,"Slovenian, Slovene","Slovenes, Slovenians","Slovenes, Slovenians"
Solomon Islands,Solomon Island,Solomon Islanders,Solomon Islanders
Somalia,Somali,Somalis,Somalis
Somaliland,Somalilander,Somalilanders,Somalilanders
South Africa,South African,South Africans,South Africans
South Georgia and the South Sandwich Islands,South Georgia or South Sandwich Islands,none,none
South Ossetia,South Ossetian,South Ossetians,South Ossetians
South Sudan,South Sudanese,South Sudanese,South Sudanese
Spain,Spanish,Spaniards,"several, including ""Castellanos"", ""Gallegos"""
Sri Lanka,Sri Lankan,Sri Lankans,Sri Lankans
Sudan,Sudanese,Sudanese,Sudanese
Suriname,Surinamese,Surinamers,Surinamers
Svalbard,Svalbard,,
Swaziland,"Swazi, Swati",Swazis,Swazis
Sweden,Swedish,Swedes,Swedes
Switzerland,Swiss,Swiss,Swiss
Syria,Syrian,Syrians,Syrians
Taiwan,Taiwanese,Taiwanese,Taiwanese
Tajikistan,Tajikistani,"Tajikistanis, Tajiks","Tajikistanis, Tajiks"
Tanzania,Tanzanian,Tanzanians,Tanzanians
Thailand,Thai,Thai,Thai
Timor-Leste,Timorese,Timorese,"""Maubere"""
Togo,Togolese,Togolese,Togolese
Tokelau,Tokelauan,Tokelauans,Tokelauans
Tonga,Tongan,Tongans,Tongans
Trinidad and Tobago,Trinidadian or Tobagonian,Trinidadians or Tobagonians,"""Trinis"", ""Trinbagonians"""
Tunisia,Tunisian,Tunisians,Tunisians
Turkey,Turkish,Turks,Turks
Turkmenistan,Turkmen,Turkmens,Turkmens
Turks and Caicos Islands,Turks and Caicos Island,Turks and Caicos Islanders,Turks and Caicos Islanders
Tuvalu,Tuvaluan,Tuvaluans,Tuvaluans
Uganda,Ugandan,Ugandans,Ugandans
Ukraine,Ukrainian,Ukrainians,Ukrainians
United Arab Emirates,"Emirati, Emirian, Emiri","Emiratis, Emirians, Emiri","Emiratis, Emirians, Emiri"
United Kingdom of Great Britain and Northern Ireland,"British, UK","Britons, British"
United States of America,"United States,  U.S., American",Americans,"""Yankees/Yanks"""
Uruguay,Uruguayan,Uruguayans,"""Charrúas"""
Uzbekistan,"Uzbekistani, Uzbek","Uzbekistanis, Uzbeks","Uzbekistanis, Uzbeks"
Vanuatu,"Ni-Vanuatu, Vanuatuan",Ni-Vanuatu,Ni-Vanuatu
Vatican City State,Vatican,Vatican citizens,Vatican citizens
Venezuela,Venezuelan,Venezuelans,Venezuelans
Vietnam,Vietnamese,Vietnamese,Vietnamese
"Virgin Islands, British",British Virgin Island,British Virgin Islanders,British Virgin Islanders
"Virgin Islands, United States",U.S. Virgin Island,U.S. Virgin Islanders,U.S. Virgin Islanders
Wallis and Futuna,"Wallis and Futuna, Wallisian or Futunan","Wallis and Futuna Islanders, Wallisians or Futunans","Wallis and Futuna Islanders, Wallisians or Futunans"
Western Sahara,"Sahrawi, Sahrawian, Sahraouian","Sahrawis, Sahraouis","Sahrawis, Sahraouis"
Yemen,Yemeni,Yemenis,Yemenis
Zambia,Zambian,Zambians,Zambians
Zimbabwe,Zimbabwean,Zimbabweans,"""Zimbos"""

