"skill","ai_score","software_score","robot_score"
"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment","0.456732136950451","0.416364729302745","0.530604938814527"
"Repairing and Maintaining Mechanical Equipment","0.226454763622257","0.538264872159333","1.43102796078379"
"Repairing and Maintaining Electronic Equipment","0.361085255964424","0.563902690598372","0.897162028901495"
"Documenting/Recording Information","0.33775839269167","-0.0657210896861417","-1.4014416168302"
"Interpreting the Meaning of Information for Others","0.146456135392238","-0.333958156657501","-1.49201643912011"
"Communicating with Supervisors, Peers, or Subordinates","0.36315015737107","-0.167807810069363","-1.58142044285947"
"Communicating with Persons Outside Organization","0.0297303847713926","-0.39723992450998","-1.40101812681294"
"Establishing and Maintaining Interpersonal Relationships","-0.0271372558627841","-0.659281999597614","-2.36582124765416"
"Assisting and Caring for Others","-0.228127509228667","-0.233898271907997","-0.424071613008903"
"Selling or Influencing Others","-0.00462785595965324","-0.479799777399526","-1.23689083053251"
"Resolving Conflicts and Negotiating with Others","0.0720036207645113","-0.405332711618729","-1.38253341631519"
"Performing for or Working Directly with the Public","-0.322987935771306","-0.459694308585213","-0.817025124886752"
"Coordinating the Work and Activities of Others","0.300961040517784","-0.117731070635847","-0.843290585671371"
"Developing and Building Teams","0.332269725881623","-0.190955744449335","-1.08027350312212"
"Training and Teaching Others","0.0333905217058436","-0.317425031135459","-1.01838486121841"
"Guiding, Directing, and Motivating Subordinates","0.19709819241459","-0.185470574266302","-0.801922918057156"
"Coaching and Developing Others","0.0617971765770326","-0.391018720121796","-1.34552267100849"
"Provide Consultation and Advice to Others","0.249647716224784","-0.257073789927155","-1.26669608501489"
"Performing Administrative Activities","0.0755037481902113","-0.454884134821093","-1.9757257378107"
"Staffing Organizational Units","0.174170800328098","-0.276249090033064","-1.09866297388499"
"Monitoring and Controlling Resources","0.268906497034266","-0.151568920713305","-0.955881456948082"
"Public Speaking","-0.528011792290119","-0.502321835539381","-0.584947298564942"
"Telephone","0.081693299951321","-0.118975739584561","-0.641978150983998"
"Electronic Mail","0.0875205476264897","-0.151806327097891","-0.86659863331569"
"Letters and Memos","0.0460776975708718","-0.185742624791575","-0.761301208982325"
"Face-to-Face Discussions","0.129844772928967","0.0748427544641198","-0.0819385713929341"
"Contact With Others","-0.28011430017158","-0.244808057604081","-0.449799806569462"
"Work With Work Group or Team","-0.0659045336876479","-0.0324480325640367","-0.23493629051234"
"Deal With External Customers","-0.217921364213914","-0.270949037279325","-0.546219002201616"
"Coordinate or Lead Others","-0.197826748714491","-0.232297350300928","-0.590694926029056"
"Responsible for Others' Health and Safety","0.0982398034762462","0.313759782254189","1.00512758432331"
"Responsibility for Outcomes and Results","0.0394813333911385","0.075459980977687","0.306604835472636"
"Frequency of Conflict Situations","-0.144485686305245","-0.182287912493643","-0.369874267270742"
"Deal With Unpleasant or Angry People","-0.2264603214264","-0.0116172216322027","0.0791734105972235"
"Deal With Physically Aggressive People","-0.305138755479582","-0.111641616029791","-0.057498091939471"
"Indoors, Environmentally Controlled","-0.0291258337391785","-0.198992433430886","-0.942316200956053"
"Indoors, Not Environmentally Controlled","0.169376036577244","0.408168236158927","1.14009331066755"
"Outdoors, Exposed to Weather","0.056524235433823","0.261739916761346","0.937644254773052"
"Outdoors, Under Cover","0.255368807838696","0.613185694603178","1.81195598436572"
"In an Open Vehicle or Equipment","0.241821196304266","0.721985896164557","2.21029278284588"
"In an Enclosed Vehicle or Equipment","0.0832268166254682","0.238003361371782","0.791192191491451"
"Physical Proximity","-0.190591303396995","-0.131051147565122","-0.0195465899501126"
"Sounds, Noise Levels Are Distracting or Uncomfortable","0.117104494258868","0.411752786378039","1.09068616282417"
"Very Hot or Cold Temperatures","0.0848334416694539","0.406468885654376","1.35920395756967"
"Extremely Bright or Inadequate Lighting","0.140228625055328","0.576149118993742","1.71910056222498"
"Exposed to Contaminants","0.0908785926901045","0.356959612787728","1.09525875633364"
"Cramped Work Space, Awkward Positions","0.0839444099257014","0.464176747991286","1.75218895314208"
"Exposed to Whole Body Vibration","0.200092462764103","0.723445556487269","2.59992163718927"
"Exposed to Radiation","0.10467445956596","0.177603501201662","0.293544982221163"
"Exposed to Disease or Infections","-0.105141045254104","-0.0882929002239629","-0.147933276939204"
"Exposed to High Places","0.224625737218267","0.518397353997322","1.57642013730019"
"Exposed to Hazardous Conditions","0.196688763423843","0.473491953068171","1.19870682645211"
"Exposed to Hazardous Equipment","0.156635977984813","0.406981762269754","1.17473019158162"
"Exposed to Minor Burns, Cuts, Bites, or Stings","0.0650829819225162","0.387146857620532","1.3702022588487"
"Spend Time Sitting","0.096357642307776","-0.0625994599812229","-0.563443220019102"
"Spend Time Standing","-0.138920016661562","0.0693409754763636","0.728474322126924"
"Spend Time Climbing Ladders, Scaffolds, or Poles","0.0810336654382064","0.392840443226722","1.92046241261052"
"Spend Time Walking and Running","-0.184403595745969","0.196280343533145","1.30032000885335"
"Spend Time Kneeling, Crouching, Stooping, or Crawling","-0.285858800234183","0.118607567834609","2.06400895337029"
"Spend Time Keeping or Regaining Balance","-0.310578452883106","0.219035749603185","1.88696559544533"
"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls","-0.0254964244566796","0.266747042784949","1.04003947030543"
"Spend Time Bending or Twisting the Body","-0.131352941669096","0.250575563656646","1.70380545051167"
"Spend Time Making Repetitive Motions","-0.0926351616207003","0.17055781424126","0.829510325060883"
"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets","0.0994628129379086","0.28529032935668","0.827445405011386"
"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection","0.0472342959623774","0.367666490424666","1.36272267016774"
"Consequence of Error","0.160732148142042","0.330337925067145","0.623762126358031"
"Impact of Decisions on Co-workers or Company Results","0.0282187276206385","0.0241696710961341","0.0364660730824706"
"Frequency of Decision Making","-0.0605510504529153","0.0596044545123472","0.257829869055046"
"Freedom to Make Decisions","-0.033262531238315","-0.2197315430229","-0.524092933249068"
"Degree of Automation","0.219975097047374","0.59649908835678","1.58819430041992"
"Importance of Being Exact or Accurate","0.0786533510191956","0.0914964679538242","-0.185378977048672"
"Importance of Repeating Same Tasks","-0.0486402241455241","0.05380105548479","-0.230277165696084"
"Structured versus Unstructured Work","-0.136327877513275","-0.314431132358443","-0.711366069466083"
"Level of Competition","-0.189407679963854","-0.22297834788184","-0.451052606098718"
"Time Pressure","-0.0545938967520443","0.171107018136358","0.606043370463505"
"Pace Determined by Speed of Equipment","0.181336161017474","0.606675650278232","1.46562782775823"
"Work Schedules","-0.27385862672637","-0.151347270753309","0.537422846696619"
"Duration of Typical Work Week","0.194730273074975","0.0597075874878407","-0.179288660379931"
