O*NET-SOC Code,O*NET-SOC Title,Job Zone,First Work Value,Second Work Value,Third Work Value
13-1199.01,Energy Auditors,3,Independence,Support,Achievement
27-4032.00,Film and Video Editors,3,Independence,Achievement,Recognition
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",3,Independence,Achievement,Working Conditions
45-1011.07,First-Line Supervisors of Agricultural Crop and Horticultural Workers,3,Independence,Support,Achievement
45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers,3,Independence,Achievement,Relationships
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,3,Independence,Relationships,Achievement
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3,Independence,Relationships,Working Conditions
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",3,Independence,Working Conditions,Achievement
33-1012.00,First-Line Supervisors of Police and Detectives,3,Independence,Recognition,Working Conditions
19-4093.00,Forest and Conservation Technicians,3,Independence,Achievement,Working Conditions
45-4011.00,Forest and Conservation Workers,3,Independence,Relationships,Achievement
11-9071.00,Gaming Managers,3,Independence,Relationships,Working Conditions
13-1032.00,"Insurance Appraisers, Auto Damage",3,Independence,Support,Working Conditions
17-3031.02,Mapping Technicians,3,Independence,Support,Working Conditions
51-7031.00,"Model Makers, Wood",3,Independence,Support,Achievement
49-3052.00,Motorcycle Mechanics,3,Independence,Support,Working Conditions
49-9063.00,Musical Instrument Repairers and Tuners,3,Independence,Achievement,Working Conditions
11-9013.01,Nursery and Greenhouse Managers,3,Independence,Relationships,Achievement
29-2081.00,"Opticians, Dispensing",3,Independence,Relationships,Support
27-4021.00,Photographers,3,Independence,Relationships,Achievement
47-2152.02,Plumbers,3,Independence,Relationships,Working Conditions
33-3021.01,Police Detectives,3,Independence,Working Conditions,Recognition
33-9021.00,Private Detectives and Investigators,3,Independence,Achievement,Recognition
43-5061.00,"Production, Planning, and Expediting Clerks",3,Independence,Support,Working Conditions
41-9022.00,Real Estate Sales Agents,3,Independence,Achievement,Relationships
49-9021.02,Refrigeration Mechanics and Installers,3,Independence,Support,Relationships
53-5021.01,Ship and Boat Captains,3,Independence,Achievement,Working Conditions
53-5031.00,Ship Engineers,3,Independence,Support,Relationships
27-4014.00,Sound Engineering Technicians,3,Independence,Relationships,Achievement
39-1021.01,Spa Managers,3,Independence,Relationships,Achievement
47-2022.00,Stonemasons,3,Independence,Support,Working Conditions
53-6041.00,Traffic Technicians,3,Independence,Support,Relationships
49-9064.00,Watch Repairers,3,Independence,Achievement,Working Conditions
15-1134.00,Web Developers,3,Independence,Working Conditions,Achievement
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3,Independence,Achievement,Relationships
17-2021.00,Agricultural Engineers,4,Independence,Working Conditions,Achievement
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",4,Independence,Support,Working Conditions
13-2021.02,"Appraisers, Real Estate",4,Independence,Support,Achievement
11-9013.03,Aquacultural Managers,4,Independence,Working Conditions,Achievement
17-1011.00,"Architects, Except Landscape and Naval",4,Independence,Recognition,Achievement
27-1011.00,Art Directors,4,Independence,Achievement,Working Conditions
13-2011.02,Auditors,4,Independence,Achievement,Recognition
43-9111.01,Bioinformatics Technicians,4,Independence,Support,Working Conditions
17-2031.00,Biomedical Engineers,4,Independence,Achievement,Working Conditions
13-1021.00,"Buyers and Purchasing Agents, Farm Products",4,Independence,Working Conditions,Achievement
17-2051.00,Civil Engineers,4,Independence,Working Conditions,Recognition
13-1031.01,"Claims Examiners, Property and Casualty Insurance",4,Independence,Support,Working Conditions
11-9121.01,Clinical Research Coordinators,4,Independence,Achievement,Working Conditions
13-1051.00,Cost Estimators,4,Independence,Relationships,Working Conditions
27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio",4,Independence,Recognition,Achievement
27-3041.00,Editors,4,Independence,Achievement,Recognition
11-9161.00,Emergency Management Directors,4,Independence,Relationships,Recognition
41-3099.01,Energy Brokers,4,Independence,Achievement,Recognition
13-2061.00,Financial Examiners,4,Independence,Relationships,Achievement
11-3031.02,"Financial Managers, Branch or Department",4,Independence,Working Conditions,Recognition
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,4,Independence,Working Conditions,Support
33-3031.00,Fish and Game Wardens,4,Independence,Support,Achievement
19-1032.00,Foresters,4,Independence,Working Conditions,Achievement
13-2099.04,"Fraud Examiners, Investigators and Analysts",4,Independence,Working Conditions,Achievement
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",4,Independence,Achievement,Recognition
17-2112.00,Industrial Engineers,4,Independence,Recognition,Achievement
11-3051.00,Industrial Production Managers,4,Independence,Working Conditions,Relationships
41-3021.00,Insurance Sales Agents,4,Independence,Relationships,Achievement
13-2053.00,Insurance Underwriters,4,Independence,Relationships,Support
17-1012.00,Landscape Architects,4,Independence,Working Conditions,Achievement
13-1081.00,Logisticians,4,Independence,Achievement,Recognition
11-3071.03,Logistics Managers,4,Independence,Working Conditions,Support
17-2121.01,Marine Engineers,4,Independence,Achievement,Recognition
27-1014.00,Multimedia Artists and Animators,4,Independence,Achievement,Working Conditions
13-1199.06,Online Merchants,4,Independence,Achievement,Working Conditions
13-2052.00,Personal Financial Advisors,4,Independence,Achievement,Recognition
17-2171.00,Petroleum Engineers,4,Independence,Working Conditions,Achievement
27-2012.01,Producers,4,Independence,Achievement,Recognition
11-9141.00,"Property, Real Estate, and Community Association Managers",4,Independence,Achievement,Working Conditions
27-3031.00,Public Relations Specialists,4,Independence,Achievement,Working Conditions
17-2072.01,Radio Frequency Identification Device Specialists,4,Independence,Support,Working Conditions
41-9021.00,Real Estate Brokers,4,Independence,Achievement,Relationships
17-2199.08,Robotics Engineers,4,Independence,Working Conditions,Achievement
11-2022.00,Sales Managers,4,Independence,Working Conditions,Achievement
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",4,Independence,Achievement,Working Conditions
19-4061.00,Social Science Research Assistants,4,Independence,Achievement,Working Conditions
11-3071.02,Storage and Distribution Managers,4,Independence,Relationships,Working Conditions
11-9199.04,Supply Chain Managers,4,Independence,Working Conditions,Support
27-2012.05,Technical Directors/Managers,4,Independence,Support,Working Conditions
27-3042.00,Technical Writers,4,Independence,Working Conditions,Achievement
15-1199.11,Video Game Designers,4,Independence,Achievement,Working Conditions
19-3091.01,Anthropologists,5,Independence,Achievement,Relationships
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",5,Independence,Working Conditions,Achievement
25-4011.00,Archivists,5,Independence,Achievement,Recognition
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",5,Independence,Relationships,Working Conditions
19-1029.01,Bioinformatics Scientists,5,Independence,Achievement,Recognition
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",5,Independence,Achievement,Working Conditions
25-4012.00,Curators,5,Independence,Achievement,Working Conditions
29-1021.00,"Dentists, General",5,Independence,Achievement,Relationships
11-9033.00,"Education Administrators, Postsecondary",5,Independence,Achievement,Relationships
13-2099.01,Financial Quantitative Analysts,5,Independence,Achievement,Recognition
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",5,Independence,Relationships,Achievement
19-3092.00,Geographers,5,Independence,Achievement,Working Conditions
25-1064.00,"Geography Teachers, Postsecondary",5,Independence,Achievement,Recognition
23-1023.00,"Judges, Magistrate Judges, and Magistrates",5,Independence,Relationships,Achievement
11-9111.00,Medical and Health Services Managers,5,Independence,Working Conditions,Relationships
19-1029.02,Molecular and Cellular Biologists,5,Independence,Working Conditions,Achievement
11-9121.00,Natural Sciences Managers,5,Independence,Working Conditions,Achievement
19-3039.01,Neuropsychologists and Clinical Neuropsychologists,5,Independence,Recognition,Achievement
29-1022.00,Oral and Maxillofacial Surgeons,5,Independence,Achievement,Recognition
29-1023.00,Orthodontists,5,Independence,Achievement,Recognition
29-1199.05,Orthoptists,5,Independence,Working Conditions,Relationships
29-2091.00,Orthotists and Prosthetists,5,Independence,Relationships,Achievement
29-1024.00,Prosthodontists,5,Independence,Relationships,Achievement
15-2041.00,Statisticians,5,Independence,Achievement,Recognition
19-3022.00,Survey Researchers,5,Independence,Achievement,Recognition
