O*NET-SOC Code,O*NET-SOC Title,Job Zone,First Work Value,Second Work Value,Third Work Value
51-8099.03,Biomass Plant Technicians,2,Support,Working Conditions,Achievement
47-2021.00,Brickmasons and Blockmasons,2,Support,Working Conditions,Independence
51-9011.00,Chemical Equipment Operators and Tenders,2,Support,Independence,Relationships
51-8091.00,Chemical Plant and System Operators,2,Support,Working Conditions,Independence
51-9121.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",2,Support,Relationships,Independence
51-2021.00,"Coil Winders, Tapers, and Finishers",2,Support,Working Conditions,Independence
47-2031.01,Construction Carpenters,2,Support,Independence,Achievement
47-2061.00,Construction Laborers,2,Support,Relationships,Working Conditions
47-5041.00,Continuous Mining Machine Operators,2,Support,Relationships,Working Conditions
35-2014.00,"Cooks, Restaurant",2,Support,Relationships,Independence
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,2,Support,Independence,Relationships
33-3012.00,Correctional Officers and Jailers,2,Support,Relationships,Independence
43-4041.02,Credit Checkers,2,Support,Relationships,Independence
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",2,Support,Relationships,Working Conditions
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",2,Support,Independence,Relationships
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",2,Support,Relationships,Achievement
43-9021.00,Data Entry Keyers,2,Support,Relationships,Working Conditions
51-9081.00,Dental Laboratory Technicians,2,Support,Independence,Working Conditions
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",2,Support,Independence,Working Conditions
53-7031.00,Dredge Operators,2,Support,Relationships,Working Conditions
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2,Support,Relationships,Working Conditions
53-3031.00,Driver/Sales Workers,2,Support,Independence,Relationships
47-2081.00,Drywall and Ceiling Tile Installers,2,Support,Independence,Working Conditions
47-5021.00,"Earth Drillers, Except Oil and Gas",2,Support,Independence,Working Conditions
51-2022.00,Electrical and Electronic Equipment Assemblers,2,Support,Relationships,Independence
51-2023.00,Electromechanical Equipment Assemblers,2,Support,Relationships,Working Conditions
51-2031.00,Engine and Other Machine Assemblers,2,Support,Relationships,Independence
51-9194.00,Etchers and Engravers,2,Support,Independence,Relationships
53-7032.00,Excavating and Loading Machine and Dragline Operators,2,Support,Independence,Relationships
47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",2,Support,Independence,Working Conditions
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",2,Support,Relationships,Independence
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",2,Support,Relationships,Independence
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",2,Support,Independence,Relationships
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,Support,Relationships,Independence
51-2091.00,Fiberglass Laminators and Fabricators,2,Support,Relationships,Working Conditions
43-4071.00,File Clerks,2,Support,Relationships,Independence
53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,2,Support,Independence,Relationships
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",2,Support,Independence,Working Conditions
47-2043.00,Floor Sanders and Finishers,2,Support,Relationships,Working Conditions
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",2,Support,Relationships,Working Conditions
51-3092.00,Food Batchmakers,2,Support,Relationships,Working Conditions
51-3093.00,Food Cooking Machine Operators and Tenders,2,Support,Relationships,Independence
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",2,Support,Relationships,Working Conditions
51-4071.00,Foundry Mold and Coremakers,2,Support,Relationships,Independence
43-5011.01,Freight Forwarders,2,Support,Relationships,Working Conditions
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",2,Support,Independence,Relationships
51-7021.00,Furniture Finishers,2,Support,Relationships,Working Conditions
41-2012.00,Gaming Change Persons and Booth Cashiers,2,Support,Relationships,Independence
39-3011.00,Gaming Dealers,2,Support,Relationships,Independence
53-7071.00,Gas Compressor and Gas Pumping Station Operators,2,Support,Independence,Working Conditions
49-9099.01,Geothermal Technicians,2,Support,Achievement,Working Conditions
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2,Support,Relationships,Independence
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",2,Support,Relationships,Independence
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,2,Support,Independence,Working Conditions
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",2,Support,Relationships,Working Conditions
47-3013.00,Helpers--Electricians,2,Support,Relationships,Working Conditions
47-5081.00,Helpers--Extraction Workers,2,Support,Working Conditions,Relationships
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",2,Support,Relationships,Independence
51-9198.00,Helpers--Production Workers,2,Support,Relationships,Working Conditions
47-4051.00,Highway Maintenance Workers,2,Support,Relationships,Working Conditions
53-7041.00,Hoist and Winch Operators,2,Support,Independence,Relationships
53-7051.00,Industrial Truck and Tractor Operators,2,Support,Relationships,Independence
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",2,Support,Relationships,Working Conditions
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",2,Support,Independence,Relationships
47-2132.00,"Insulation Workers, Mechanical",2,Support,Independence,Relationships
43-9041.02,Insurance Policy Processing Clerks,2,Support,Relationships,Independence
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2,Support,Achievement,Independence
51-4192.00,"Layout Workers, Metal and Plastic",2,Support,Relationships,Independence
53-3033.00,Light Truck or Delivery Services Drivers,2,Support,Independence,Working Conditions
53-7033.00,"Loading Machine Operators, Underground Mining",2,Support,Working Conditions,Relationships
53-4011.00,Locomotive Engineers,2,Support,Working Conditions,Relationships
53-4012.00,Locomotive Firers,2,Support,Working Conditions,Relationships
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",2,Support,Relationships,Working Conditions
49-9095.00,Manufactured Building and Mobile Home Installers,2,Support,Relationships,Independence
31-9093.00,Medical Equipment Preparers,2,Support,Relationships,Working Conditions
51-4051.00,Metal-Refining Furnace Operators and Tenders,2,Support,Independence,Working Conditions
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",2,Support,Working Conditions,Independence
49-9044.00,Millwrights,2,Support,Independence,Working Conditions
47-5042.00,Mine Cutting and Channeling Machine Operators,2,Support,Relationships,Independence
53-7111.00,Mine Shuttle Car Operators,2,Support,Relationships,Working Conditions
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",2,Support,Relationships,Independence
51-9195.07,Molding and Casting Workers,2,Support,Relationships,Independence
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",2,Support,Relationships,Independence
39-3021.00,Motion Picture Projectionists,2,Support,Independence,Achievement
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2,Support,Relationships,Working Conditions
43-4141.00,New Accounts Clerks,2,Support,Relationships,Independence
17-3029.01,Non-Destructive Testing Specialists,2,Support,Independence,Working Conditions
45-2092.01,Nursery Workers,2,Support,Relationships,Achievement
43-9071.00,"Office Machine Operators, Except Computer",2,Support,Relationships,Independence
47-2073.00,Operating Engineers and Other Construction Equipment Operators,2,Support,Relationships,Working Conditions
51-9083.00,Ophthalmic Laboratory Technicians,2,Support,Independence,Relationships
43-4151.00,Order Clerks,2,Support,Independence,Working Conditions
31-1015.00,Orderlies,2,Support,Relationships,Working Conditions
51-9111.00,Packaging and Filling Machine Operators and Tenders,2,Support,Relationships,Independence
47-2141.00,"Painters, Construction and Maintenance",2,Support,Independence,Working Conditions
51-9122.00,"Painters, Transportation Equipment",2,Support,Independence,Working Conditions
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",2,Support,Relationships,Independence
47-2142.00,Paperhangers,2,Support,Relationships,Working Conditions
33-3041.00,Parking Enforcement Workers,2,Support,Relationships,Independence
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",2,Support,Relationships,Independence
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",2,Support,Independence,Working Conditions
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",2,Support,Working Conditions,Independence
51-9151.00,Photographic Process Workers and Processing Machine Operators,2,Support,Independence,Relationships
47-2072.00,Pile-Driver Operators,2,Support,Relationships,Working Conditions
47-2151.00,Pipelayers,2,Support,Relationships,Independence
51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",2,Support,Relationships,Working Conditions
43-5051.00,Postal Service Clerks,2,Support,Relationships,Working Conditions
43-5052.00,Postal Service Mail Carriers,2,Support,Relationships,Working Conditions
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",2,Support,Relationships,Working Conditions
51-4052.00,"Pourers and Casters, Metal",2,Support,Relationships,Independence
51-8013.00,Power Plant Operators,2,Support,Relationships,Independence
51-5113.00,Print Binding and Finishing Workers,2,Support,Independence,Achievement
53-7072.00,"Pump Operators, Except Wellhead Pumpers",2,Support,Independence,Relationships
49-3043.00,Rail Car Repairers,2,Support,Working Conditions,Independence
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",2,Support,Relationships,Independence
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,2,Support,Relationships,Working Conditions
53-4021.00,"Railroad Brake, Signal, and Switch Operators",2,Support,Relationships,Working Conditions
53-4031.00,Railroad Conductors and Yardmasters,2,Support,Independence,Working Conditions
49-3092.00,Recreational Vehicle Service Technicians,2,Support,Independence,Working Conditions
51-9199.01,Recycling and Reclamation Workers,2,Support,Relationships,Working Conditions
49-9045.00,"Refractory Materials Repairers, Except Brickmasons",2,Support,Independence,Relationships
53-7081.00,Refuse and Recyclable Material Collectors,2,Support,Relationships,Working Conditions
47-2171.00,Reinforcing Iron and Rebar Workers,2,Support,Relationships,Working Conditions
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",2,Support,Relationships,Working Conditions
47-5061.00,"Roof Bolters, Mining",2,Support,Relationships,Working Conditions
47-2181.00,Roofers,2,Support,Independence,Working Conditions
47-5012.00,"Rotary Drill Operators, Oil and Gas",2,Support,Relationships,Working Conditions
47-2031.02,Rough Carpenters,2,Support,Independence,Working Conditions
53-5011.00,Sailors and Marine Oilers,2,Support,Achievement,Relationships
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",2,Support,Independence,Working Conditions
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2,Support,Relationships,Working Conditions
33-9032.00,Security Guards,2,Support,Relationships,Independence
47-4091.00,Segmental Pavers,2,Support,Relationships,Independence
51-9141.00,Semiconductor Processors,2,Support,Relationships,Working Conditions
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",2,Support,Working Conditions,Independence
47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",2,Support,Relationships,Independence
47-2211.00,Sheet Metal Workers,2,Support,Independence,Relationships
51-6041.00,Shoe and Leather Workers and Repairers,2,Support,Achievement,Independence
51-3023.00,Slaughterers and Meat Packers,2,Support,Relationships,Independence
47-2231.00,Solar Photovoltaic Installers,2,Support,Achievement,Working Conditions
51-4121.07,Solderers and Brazers,2,Support,Relationships,Working Conditions
43-3021.01,Statement Clerks,2,Support,Relationships,Independence
43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",2,Support,Relationships,Independence
51-9195.03,"Stone Cutters and Carvers, Manufacturing",2,Support,Achievement,Working Conditions
47-2221.00,Structural Iron and Steel Workers,2,Support,Relationships,Working Conditions
53-4041.00,Subway and Streetcar Operators,2,Support,Relationships,Working Conditions
53-7121.00,"Tank Car, Truck, and Ship Loaders",2,Support,Independence,Relationships
51-2092.00,Team Assemblers,2,Support,Relationships,Working Conditions
49-9052.00,Telecommunications Line Installers and Repairers,2,Support,Relationships,Independence
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,2,Support,Relationships,Independence
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",2,Support,Relationships,Working Conditions
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",2,Support,Relationships,Working Conditions
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",2,Support,Relationships,Independence
51-2093.00,Timing Device Assemblers and Adjusters,2,Support,Working Conditions,Achievement
51-9197.00,Tire Builders,2,Support,Relationships,Independence
49-3093.00,Tire Repairers and Changers,2,Support,Relationships,Independence
23-2093.00,"Title Examiners, Abstractors, and Searchers",2,Support,Achievement,Working Conditions
51-4194.00,"Tool Grinders, Filers, and Sharpeners",2,Support,Independence,Working Conditions
33-9093.00,Transportation Security Screeners,2,Support,Relationships,Independence
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",2,Support,Working Conditions,Achievement
37-3013.00,Tree Trimmers and Pruners,2,Support,Relationships,Independence
51-6093.00,Upholsterers,2,Support,Achievement,Working Conditions
47-4099.03,Weatherization Installers and Technicians,2,Support,Relationships,Working Conditions
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",2,Support,Relationships,Independence
53-7073.00,Wellhead Pumpers,2,Support,Relationships,Working Conditions
51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",2,Support,Independence,Working Conditions
17-3021.00,Aerospace Engineering and Operations Technicians,3,Support,Working Conditions,Achievement
53-2021.00,Air Traffic Controllers,3,Support,Independence,Working Conditions
49-3011.00,Aircraft Mechanics and Service Technicians,3,Support,Working Conditions,Relationships
53-2022.00,Airfield Operations Specialists,3,Support,Independence,Working Conditions
49-3023.02,Automotive Specialty Technicians,3,Support,Independence,Relationships
53-6051.01,Aviation Inspectors,3,Support,Independence,Achievement
49-2091.00,Avionics Technicians,3,Support,Relationships,Achievement
47-2011.00,Boilermakers,3,Support,Relationships,Independence
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",3,Support,Relationships,Achievement
27-4012.00,Broadcast Technicians,3,Support,Achievement,Independence
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,3,Support,Relationships,Achievement
27-4031.00,"Camera Operators, Television, Video, and Motion Picture",3,Support,Relationships,Independence
19-4031.00,Chemical Technicians,3,Support,Relationships,Working Conditions
17-3011.02,Civil Drafters,3,Support,Independence,Working Conditions
17-3022.00,Civil Engineering Technicians,3,Support,Independence,Achievement
49-9092.00,Commercial Divers,3,Support,Independence,Working Conditions
53-2012.00,Commercial Pilots,3,Support,Independence,Recognition
51-4012.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",3,Support,Independence,Relationships
43-9011.00,Computer Operators,3,Support,Independence,Achievement
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",3,Support,Independence,Working Conditions
51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic",3,Support,Independence,Working Conditions
47-4011.00,Construction and Building Inspectors,3,Support,Independence,Working Conditions
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",3,Support,Independence,Working Conditions
53-7021.00,Crane and Tower Operators,3,Support,Independence,Working Conditions
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",3,Support,Relationships,Working Conditions
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",3,Support,Working Conditions,Relationships
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",3,Support,Working Conditions,Independence
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",3,Support,Independence,Working Conditions
17-3012.02,Electrical Drafters,3,Support,Independence,Relationships
17-3023.03,Electrical Engineering Technicians,3,Support,Working Conditions,Relationships
49-9051.00,Electrical Power-Line Installers and Repairers,3,Support,Independence,Working Conditions
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",3,Support,Independence,Relationships
49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers,3,Support,Relationships,Independence
17-3023.01,Electronics Engineering Technicians,3,Support,Relationships,Working Conditions
47-4021.00,Elevator Installers and Repairers,3,Support,Working Conditions,Independence
31-9099.02,Endoscopy Technicians,3,Support,Relationships,Achievement
51-6092.00,Fabric and Apparel Patternmakers,3,Support,Relationships,Working Conditions
49-3041.00,Farm Equipment Mechanics and Service Technicians,3,Support,Independence,Achievement
33-1011.00,First-Line Supervisors of Correctional Officers,3,Support,Independence,Achievement
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,3,Support,Independence,Relationships
19-4011.02,Food Science Technicians,3,Support,Relationships,Achievement
33-1021.02,Forest Fire Fighting and Prevention Supervisors,3,Support,Achievement,Independence
51-8092.00,Gas Plant Operators,3,Support,Independence,Working Conditions
51-9071.06,Gem and Diamond Workers,3,Support,Independence,Working Conditions
13-1041.04,Government Property Inspectors and Investigators,3,Support,Independence,Relationships
47-4041.00,Hazardous Materials Removal Workers,3,Support,Relationships,Independence
49-9021.01,Heating and Air Conditioning Mechanics and Installers,3,Support,Independence,Working Conditions
29-2011.03,Histotechnologists and Histologic Technicians,3,Support,Independence,Achievement
51-8099.04,Hydroelectric Plant Technicians,3,Support,Working Conditions,Achievement
33-3021.05,Immigration and Customs Inspectors,3,Support,Working Conditions,Independence
17-3026.00,Industrial Engineering Technicians,3,Support,Achievement,Independence
49-9041.00,Industrial Machinery Mechanics,3,Support,Independence,Working Conditions
51-4041.00,Machinists,3,Support,Working Conditions,Independence
49-9071.00,"Maintenance and Repair Workers, General",3,Support,Independence,Relationships
49-9043.00,"Maintenance Workers, Machinery",3,Support,Independence,Relationships
17-3029.09,Manufacturing Production Technicians,3,Support,Independence,Working Conditions
17-3013.00,Mechanical Drafters,3,Support,Working Conditions,Achievement
17-3027.00,Mechanical Engineering Technicians,3,Support,Working Conditions,Relationships
29-2012.00,Medical and Clinical Laboratory Technicians,3,Support,Relationships,Independence
49-9062.00,Medical Equipment Repairers,3,Support,Independence,Relationships
31-9094.00,Medical Transcriptionists,3,Support,Relationships,Achievement
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",3,Support,Independence,Relationships
51-4061.00,"Model Makers, Metal and Plastic",3,Support,Working Conditions,Achievement
49-3051.00,Motorboat Mechanics and Service Technicians,3,Support,Independence,Working Conditions
33-2011.01,Municipal Firefighters,3,Support,Relationships,Achievement
29-2099.01,Neurodiagnostic Technologists,3,Support,Relationships,Independence
19-4051.01,Nuclear Equipment Operation Technicians,3,Support,Working Conditions,Relationships
19-4051.02,Nuclear Monitoring Technicians,3,Support,Relationships,Independence
51-8011.00,Nuclear Power Reactor Operators,3,Support,Working Conditions,Achievement
51-4062.00,"Patternmakers, Metal and Plastic",3,Support,Independence,Relationships
51-7032.00,"Patternmakers, Wood",3,Support,Relationships,Independence
31-9097.00,Phlebotomists,3,Support,Achievement,Relationships
53-5021.03,"Pilots, Ship",3,Support,Independence,Relationships
47-2152.01,Pipe Fitters and Steamfitters,3,Support,Independence,Relationships
33-3021.02,Police Identification and Records Officers,3,Support,Relationships,Achievement
51-8012.00,Power Distributors and Dispatchers,3,Support,Independence,Working Conditions
51-5111.00,Prepress Technicians and Workers,3,Support,Independence,Relationships
51-5112.00,Printing Press Operators,3,Support,Achievement,Independence
19-4099.01,Quality Control Analysts,3,Support,Independence,Working Conditions
49-2021.01,Radio Mechanics,3,Support,Independence,Relationships
27-4013.00,Radio Operators,3,Support,Achievement,Relationships
17-3024.01,Robotics Technicians,3,Support,Working Conditions,Achievement
49-2098.00,Security and Fire Alarm Systems Installers,3,Support,Relationships,Independence
49-9097.00,Signal and Track Switch Repairers,3,Support,Independence,Working Conditions
47-4099.02,Solar Thermal Installers and Technicians,3,Support,Achievement,Working Conditions
51-8021.00,Stationary Engineers and Boiler Operators,3,Support,Relationships,Working Conditions
51-2041.00,Structural Metal Fabricators and Fitters,3,Support,Working Conditions,Relationships
29-2055.00,Surgical Technologists,3,Support,Relationships,Achievement
17-3031.01,Surveying Technicians,3,Support,Relationships,Independence
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",3,Support,Independence,Working Conditions
51-4111.00,Tool and Die Makers,3,Support,Working Conditions,Independence
51-8031.00,Water and Wastewater Treatment Plant and System Operators,3,Support,Independence,Achievement
51-4121.06,"Welders, Cutters, and Welder Fitters",3,Support,Working Conditions,Relationships
49-9081.00,Wind Turbine Service Technicians,3,Support,Achievement,Working Conditions
19-4021.00,Biological Technicians,4,Support,Achievement,Working Conditions
11-9199.02,Compliance Managers,4,Achievement,Support,Independence
15-1199.12,Document Management Specialists,4,Achievement,Support,Working Conditions
17-3029.02,Electrical Engineering Technologists,4,Support,Working Conditions,Achievement
17-3029.03,Electromechanical Engineering Technologists,4,Support,Working Conditions,Achievement
17-3025.00,Environmental Engineering Technicians,4,Support,Working Conditions,Achievement
19-4092.00,Forensic Science Technicians,4,Support,Recognition,Independence
53-6051.08,Freight and Cargo Inspectors,4,Support,Working Conditions,Relationships
19-4041.02,Geological Sample Test Technicians,4,Support,Independence,Relationships
19-4041.01,Geophysical Data Technicians,4,Support,Working Conditions,Achievement
13-1071.00,Human Resources Specialists,4,Relationships,Support,Achievement
13-1031.02,"Insurance Adjusters, Examiners, and Investigators",4,Support,Relationships,Independence
17-2199.04,Manufacturing Engineers,4,Working Conditions,Support,Independence
17-2131.00,Materials Engineers,4,Support,Working Conditions,Independence
15-2091.00,Mathematical Technicians,4,Support,Achievement,Independence
29-2011.00,Medical and Clinical Laboratory Technologists,4,Support,Independence,Achievement
29-9011.00,Occupational Health and Safety Specialists,4,Support,Working Conditions,Achievement
21-1092.00,Probation Officers and Correctional Treatment Specialists,4,Support,Relationships,Working Conditions
17-2111.03,Product Safety Engineers,4,Support,Working Conditions,Independence
11-3051.01,Quality Control Systems Managers,4,Support,Achievement,Independence
19-4099.03,Remote Sensing Technicians,4,Support,Working Conditions,Achievement
13-1199.02,Security Management Specialists,4,Support,Relationships,Recognition
43-9111.00,Statistical Assistants,4,Support,Achievement,Working Conditions
29-1141.02,Advanced Practice Psychiatric Nurses,5,Relationships,Working Conditions,Support
29-1071.01,Anesthesiologist Assistants,5,Support,Relationships,Achievement
29-1141.04,Clinical Nurse Specialists,5,Support,Relationships,Achievement
25-1191.00,Graduate Teaching Assistants,5,Achievement,Independence,Support
23-1012.00,Judicial Law Clerks,5,Achievement,Working Conditions,Support
29-1151.00,Nurse Anesthetists,5,Support,Relationships,Achievement
29-1051.00,Pharmacists,5,Recognition,Support,Relationships
21-1015.00,Rehabilitation Counselors,5,Relationships,Achievement,Support
